id,city,lat,lng,country,iso2,capital
211,Melle,52.2031,8.3361,Germany,DE,
212,Neunkirchen,49.3448,7.1799,Germany,DE,minor
213,Herzogenrath,50.8667,6.1,Germany,DE,
214,Schwerte,51.4458,7.5653,Germany,DE,
215,Oberursel,50.2028,8.5769,Germany,DE,
216,Wittenberg,51.8671,12.6484,Germany,DE,minor
217,Hof,50.3167,11.9167,Germany,DE,minor
218,Filderstadt,48.6667,9.2167,Germany,DE,
219,Gotha,50.9489,10.7183,Germany,DE,minor
220,Fellbach,48.8086,9.2758,Germany,DE,
221,Bünde,52.2,8.6,Germany,DE,
222,Albstadt,48.2119,9.0239,Germany,DE,
223,Weinheim,49.5561,8.6697,Germany,DE,
224,Rodgau,50.0256,8.8841,Germany,DE,
225,Bruchsal,49.1333,8.6,Germany,DE,
226,Oranienburg,52.7544,13.2369,Germany,DE,minor
227,Brühl,50.8333,6.9,Germany,DE,
228,Erkrath,51.2239,6.9147,Germany,DE,
229,Neustadt am Rübenberge,52.5055,9.4636,Germany,DE,
230,Lehrte,52.3725,9.9769,Germany,DE,
231,Kaufbeuren,47.88,10.6225,Germany,DE,minor
232,Falkensee,52.5583,13.0917,Germany,DE,
233,Memmingen,47.9878,10.1811,Germany,DE,minor
234,Kaarst,51.2278,6.6273,Germany,DE,
235,Erkelenz,51.08,6.3156,Germany,DE,
236,Pinneberg,53.6591,9.8009,Germany,DE,minor
237,Bietigheim-Bissingen,48.9667,9.1333,Germany,DE,
238,Kamen,51.5917,7.6653,Germany,DE,
239,Wismar,53.8925,11.465,Germany,DE,minor
240,Borken,51.8439,6.8583,Germany,DE,minor
241,Gifhorn,52.4886,10.5464,Germany,DE,minor
242,Nettetal,51.3167,6.2833,Germany,DE,
243,Eisenach,50.9747,10.3244,Germany,DE,minor
244,Dreieich,50.0189,8.6961,Germany,DE,
245,Aurich,53.4714,7.4836,Germany,DE,minor
246,Amberg,49.4444,11.8483,Germany,DE,minor
247,Heinsberg,51.0631,6.0964,Germany,DE,minor
248,Ansbach,49.3,10.5833,Germany,DE,minor
249,Homburg,49.3167,7.3333,Germany,DE,minor
250,Nordhausen,51.505,10.7911,Germany,DE,minor
251,Wunstorf,52.4238,9.4359,Germany,DE,
252,Seevetal,53.3833,10.0333,Germany,DE,
253,Siegburg,50.8014,7.2044,Germany,DE,minor
254,Laatzen,52.3077,9.8133,Germany,DE,
255,Germering,48.1333,11.3667,Germany,DE,
256,Coburg,50.2585,10.9579,Germany,DE,minor
257,Königswinter,50.6833,7.1833,Germany,DE,
258,Nürtingen,48.6267,9.3353,Germany,DE,
259,Freiberg,50.9119,13.3428,Germany,DE,minor
260,Schwabach,49.3292,11.0208,Germany,DE,minor
261,Lemgo,52.0277,8.9043,Germany,DE,
262,Kirchheim unter Teck,48.6483,9.4511,Germany,DE,
263,Bensheim,49.6811,8.6228,Germany,DE,
264,Schwäbisch Hall,49.1122,9.7375,Germany,DE,minor
265,Weißenfels,51.2,11.9667,Germany,DE,
266,Pirmasens,49.2,7.6,Germany,DE,minor
267,Eberswalde,52.8331,13.8331,Germany,DE,minor
268,Halberstadt,51.8958,11.0467,Germany,DE,minor
269,Buxtehude,53.4769,9.7011,Germany,DE,
270,Leinfelden-Echterdingen,48.6928,9.1428,Germany,DE,
